TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,add_upper,model,threshold,group_threshold,projection_lr
4447832,2029918,936106,40249341562,1.0,0.9999263223285334,0.6866322411331095,0.8261298699947882,0.7499492483700465,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.5,False,
4169260,95954,1214678,40251275526,1.0,0.9999674431785077,0.9775031217659887,0.7743885609381088,0.8641712763981746,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.5,True,
4352254,316184,1031684,40251055296,1.0,0.9999665182157378,0.9322719933305316,0.8083774367386846,0.8659154810763148,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.52,False,
4094486,80908,1289452,40251290572,1.0,0.9999659595020569,0.9806226669866365,0.7605002137840369,0.856646887041898,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.52,True,
4337018,290198,1046920,40251081282,1.0,0.9999667852516648,0.9372845356689637,0.8055475378802653,0.8664371759739187,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.54,False,
4063166,54546,1320772,40251316934,1.0,0.9999658363426034,0.9867533232047312,0.7546829105387172,0.8552548241621193,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.54,True,
4270164,105728,1113774,40251265752,1.0,0.999969706897952,0.9758385261793481,0.7931302329261593,0.8750488481869049,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.56,False,
4001282,52628,1382656,40251318852,1.0,0.9999643467541014,0.9870179653717028,0.7431887217126201,0.8479225348829522,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.56,True,
4244912,90696,1139026,40251280784,1.0,0.9999694530275172,0.9790811346413236,0.7884399857502074,0.8734794814490306,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.58,False,
3980346,52244,1403592,40251319236,1.0,0.9999638362310901,0.9870445544922742,0.7393001182405889,0.8453956702512858,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.58,True,
4234278,61050,1149660,40251310430,1.0,0.9999699252960794,0.9857868828643587,0.786464851564041,0.8749171683059438,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.6,False,
3973564,27318,1410374,40251344162,1.0,0.9999642869380537,0.9931720055727712,0.7380404454880424,0.8468066515926783,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.6,True,
4041014,27282,1342924,40251344198,1.0,0.9999659633275019,0.9932939982734786,0.750568450082449,0.8550389251895374,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.62,False,
3961640,27282,1422298,40251344198,1.0,0.9999639916335793,0.9931605581658403,0.735825709731427,0.8453428302567199,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.62,True,
4019024,25790,1364914,40251345690,1.0,0.9999654541458803,0.993623934252601,0.7464840791257255,0.8525039156825844,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.64,False,
3893762,25790,1490176,40251345690,1.0,0.9999623425687376,0.9934201663863625,0.7232182094221739,0.837054051759071,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.64,True,
3957818,25790,1426120,40251345690,1.0,0.9999639337550946,0.9935259694226942,0.7351158204273526,0.8450063655945751,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.66,False,
3891732,25296,1492206,40251346184,1.0,0.9999623044136507,0.9935420425894326,0.7228411619896069,0.836844689035526,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.66,True,
3907642,24838,1476296,40251346642,1.0,0.9999627110037952,0.9936838839612662,0.7257962480251444,0.8388721931540642,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.68,False,
3844854,24344,1539084,40251347136,1.0,0.9999611635864896,0.993708256853229,0.7141341523620814,0.8310380394279302,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.68,True,
3867268,24344,1516670,40251347136,1.0,0.9999617203626074,0.9937444945693455,0.7182972760830455,0.8338627898076125,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.7000000000000001,False,
3748718,24344,1635220,40251347136,1.0,0.9999587755152454,0.9935479459388687,0.6962780774964348,0.8187655345637218,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.7000000000000001,True,
3834936,24344,1549002,40251347136,1.0,0.9999609172179014,0.993692087643291,0.7122920063343968,0.8297837398187514,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.72,False,
3695490,24344,1688448,40251347136,1.0,0.9999574533023783,0.99345562194442,0.6863916337818154,0.8118590843443795,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.72,True,
3766296,24344,1617642,40251347136,1.0,0.999959212162457,0.9935778654791803,0.6995429739346924,0.8210287165251634,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.74,False,
3629956,24344,1753982,40251347136,1.0,0.9999558254016864,0.9933382590372986,0.6742195025277037,0.8032441721494832,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.74,True,
3749812,24344,1634126,40251347136,1.0,0.9999588026908085,0.9935498161708207,0.6964812744871877,0.8189066414911225,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.76,False,
3610802,24344,1773136,40251347136,1.0,0.9999553496057659,0.9933031575623097,0.6706618835506649,0.8007025990666014,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.76,True,
3701386,24344,1682552,40251347136,1.0,0.9999575997622691,0.9934659784793852,0.6874867429751235,0.8126280782131688,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.78,False,
3592182,24344,1791756,40251347136,1.0,0.9999548870746998,0.9932686782840771,0.6672034484795331,0.7982215139130604,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.78,True,
3673972,24344,1709966,40251347136,1.0,0.9999569187833944,0.9934175446338279,0.6823949309966051,0.8090440985244413,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.8,False,
3572992,24344,1810946,40251347136,1.0,0.9999544103845195,0.9932327700275982,0.6636391429470399,0.7956537123797803,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.8,True,
3540432,0,1843506,40251371480,1.0,0.9999542062945496,1.0,0.6575915250138468,0.7934301244793751,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.8200000000000001,False,
3504742,0,1879196,40251371480,1.0,0.999953319735272,1.0,0.6509625482314246,0.7885854817588214,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.8200000000000001,True,
3510486,0,1873452,40251371480,1.0,0.999953462419399,1.0,0.6520294253017029,0.7893678106642993,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.84,False,
3496062,0,1887876,40251371480,1.0,0.9999531041192864,1.0,0.6493503454163105,0.7874013513513514,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.84,True,
3253092,0,2130846,40251371480,1.0,0.9999470686105257,1.0,0.6042216682287204,0.7532894988207753,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.86,False,
3205234,0,2178704,40251371480,1.0,0.9999458797914194,1.0,0.5953326357027142,0.7463429536630539,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.86,True,
3146470,0,2237468,40251371480,1.0,0.99994442006126,1.0,0.5844179483493309,0.7377068013628423,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.88,False,
3071294,0,2312644,40251371480,1.0,0.999942552647972,1.0,0.5704549346593516,0.7264836730677526,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.88,True,
2771702,0,2612236,40251371480,1.0,0.9999351106175131,1.0,0.5148094201679143,0.6797018995443644,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.9,False,
2739378,0,2644560,40251371480,1.0,0.9999343076715314,1.0,0.5088056363204777,0.6744482179444945,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.9,True,
2698880,0,2685058,40251371480,1.0,0.999933301678883,1.0,0.5012836329095914,0.667806698109496,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.92,False,
2659368,0,2724570,40251371480,1.0,0.9999323201790181,1.0,0.4939447668230949,0.6612624211984475,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.92,True,
2565446,0,2818492,40251371480,1.0,0.9999299871047546,1.0,0.47649991511789325,0.6454452319827548,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.9400000000000001,False,
2440200,0,2943738,40251371480,1.0,0.9999268759250607,1.0,0.45323701721676585,0.6237620041977787,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.9400000000000001,True,
2072188,0,3311750,40251371480,1.0,0.9999177343040786,1.0,0.3848833326089565,0.5558350274660059,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.96,False,
2006356,0,3377582,40251371480,1.0,0.9999160990009024,1.0,0.3726558515346945,0.5429705502920452,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.96,True,
982144,0,4401794,40251371480,1.0,0.9998906570101268,1.0,0.18242112000546812,0.30855524638231174,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.98,False,
885896,0,4498042,40251371480,1.0,0.9998882661567408,1.0,0.16454424252285224,0.2825899377878266,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.98,True,
0,0,5383938,40251371480,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,1.0,False,
0,0,5383938,40251371480,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,1.0,True,
5383938,40251371480,0,0,1.0,0.0001337399883347946,0.0001337399883347946,1.0,0.0002674442086842396,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.0,False,0.0
5383938,40251371480,0,0,1.0,0.0001337399883347946,0.0001337399883347946,1.0,0.0002674442086842396,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.0,True,0.0
5383938,40250166458,0,1205022,1.0,0.0001636733991993274,0.0001337439917486503,1.0,0.0002674522133706824,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.02,False,0.0
3460472,22769623286,1923466,17481748194,1.0,0.43434222367016295,0.00015195447558938365,0.6427399423990395,0.00030383711900056163,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.02,True,0.0
5383738,40245346818,200,6024662,1.0,0.00028339094598018607,0.0001337550381230899,0.9999628524696978,0.00026747429888209515,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.04,False,0.0
3110328,20078936760,2273610,20172434720,1.0,0.5011716627063022,0.000154881023153191,0.5777050181484259,0.0003096790222676232,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.04,True,0.0
5382784,40229685432,1154,21686048,1.0,0.0006724047111828767,0.00013378339440367758,0.9997856587501565,0.000267530989930238,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.06,False,0.0
2885290,16914201718,2498648,23337169762,1.0,0.5797798359468375,0.0001705547768735576,0.5359069885277282,0.00034100102865675206,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.06,True,0.0
5382674,40196363848,1264,55007632,1.0,0.0015001284970173649,0.00013389154615594588,0.9997652276084903,0.0002677472348022918,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.08,False,0.0
2598114,11718673336,2785824,28532698144,1.0,0.7088324918813754,0.00022165803522961665,0.4825675927174496,0.00044311253533700244,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.08,True,0.0
5348932,39979179494,35006,272191986,1.0,0.006894269424303955,0.00013377504276183608,0.9934980677712113,0.00026751406461271736,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.1,False,0.0
2700012,7659840038,2683926,32591531442,1.0,0.8096586800292938,0.00035236514032967436,0.5014938879311017,0.0007042354630080874,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.1,True,0.0
5326644,39563296526,57294,688074954,1.0,0.017224477998789723,0.00013461787581324125,0.9893583469943376,0.00026919912282136345,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.12,False,0.0
2487910,5944479760,2896028,34306891720,1.0,0.8522639063618935,0.0004183493400427381,0.4620985605703483,0.0008359418810730979,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.12,True,0.0
5324158,39135136352,59780,1116235128,1.0,0.027860151031906494,0.00013602696367457737,0.9888966031926817,0.0002720165103129876,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.14,False,0.0
2261598,3906336664,3122340,36345034816,1.0,0.9028868828745209,0.0005786212469026575,0.4200639011816258,0.0011556506312164628,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.14,True,0.0
5318296,39015626912,65642,1235744568,1.0,0.030828685797293132,0.0001362933668482652,0.987807809079525,0.00027254912856927504,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.16,False,0.0
1946084,2486726600,3437854,37764644880,1.0,0.9381429420194511,0.0007819766787780598,0.3614610718028328,0.0015605772401746216,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.16,True,0.0
5309348,38833165520,74590,1418205960,1.0,0.03536090510074996,0.00013670330820262218,0.9861458285738061,0.00027336872098710716,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.18,False,0.0
2045826,1800838280,3338112,38450533200,1.0,0.9551832636965746,0.001134751808611263,0.3799869166398276,0.0022627463962416844,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.18,True,0.0
5204424,38517938410,179514,1733433070,1.0,0.043188713942470466,0.0001350986346681623,0.966657491226682,0.00027015951223872037,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.2,False,0.0
1935290,1573654190,3448648,38677717290,1.0,0.9608238959741194,0.0012282958375680448,0.35945621959242474,0.002448225856255352,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.2,True,0.0
4274956,29114534344,1108982,11136837136,1.0,0.2767513669772422,0.00014681081070165873,0.7940202877521992,0.0002935673421107659,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.22,False,0.0
1925124,1370871498,3458814,38880499982,1.0,0.9658608773178602,0.0014023373667654611,0.3575680106271655,0.0027937181177479387,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.22,True,0.0
4269270,28878800234,1114668,11372571246,1.0,0.2826069909974184,0.00014781219840255384,0.7929641834657085,0.00029556930131767077,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.24,False,0.0
1793568,1168037706,3590370,39083333774,1.0,0.9708961126192468,0.0015331852035954374,0.33313310814500463,0.0030523226413103986,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.24,True,0.0
4256812,28702988876,1127126,11548382604,1.0,0.28697393259950776,0.0001482835395030392,0.7906502638031865,0.0002965114693741148,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.26,False,0.0
1732670,1001634726,3651268,39249736754,1.0,0.9750281416482336,0.0017268549953959238,0.32182205664329716,0.0034352767458149403,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.26,True,0.0
4171100,27454683166,1212838,12796688314,1.0,0.3179804055514209,0.00015190364315982127,0.7747303182168889,0.00030374772961243133,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.28,False,0.0
