TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,fold,threshold,d,half,model_size
1188770852,22675800,221781812,1159382852972,1.0,0.9997894088340872,0.9812820482333546,0.8427695628385272,0.9067667140459315,1,0.1,0,1e-05,10,True,8,0,0.48,128.0,True,base
1164319800,16796724,246232864,1159388732048,1.0,0.9997734097655896,0.9857789441950099,0.8254351855947436,0.8985095824660474,1,0.1,0,1e-05,10,True,8,0,0.5,128.0,True,base
1163186424,11322722,247366240,1159394206050,1.0,0.9997771490538967,0.9903596135981048,0.8246316877680222,0.8999292933734532,1,0.1,0,1e-05,10,True,8,0,0.52,128.0,True,base
1160761812,9502076,249790852,1159396026696,1.0,0.9997766287595885,0.9918803988592357,0.82291277853345,0.8995306629605032,1,0.1,0,1e-05,10,True,8,0,0.54,128.0,True,base
1140768890,7762024,269783774,1159397766748,1.0,0.9997609045890744,0.9932417805168455,0.8087389568036717,0.8915448481690815,1,0.1,0,1e-05,10,True,8,0,0.56,128.0,True,base
1085935746,6119626,324616918,1159399409146,1.0,0.9997150827342167,0.994396231036534,0.7698654390687819,0.867843250224423,1,0.1,0,1e-05,10,True,8,0,0.58,128.0,True,base
1082127488,3673660,328425176,1159401855112,1.0,0.9997139091701855,0.9966166364745822,0.7671656050978894,0.8669664394511718,1,0.1,0,1e-05,10,True,8,0,0.6,128.0,True,base
1035002476,2759954,375550188,1159402768818,1.0,0.9996740998440236,0.997340476085649,0.733756705733321,0.8454814321379175,1,0.1,0,1e-05,10,True,8,0,0.62,128.0,True,base
1031899994,2183282,378652670,1159403345490,1.0,0.9996719239523897,0.9978886787450569,0.7315572259980504,0.8442156781839671,1,0.1,0,1e-05,10,True,8,0,0.64,128.0,True,base
1026533684,1970798,384018980,1159403557974,1.0,0.9996674841224439,0.9980838216706964,0.7277528235556897,0.841746316344816,1,0.1,0,1e-05,10,True,8,0,0.66,128.0,True,base
1021226104,1713884,389326560,1159403814888,1.0,0.9996631331610119,0.9983245507848892,0.7239900572758764,0.8393089686633662,1,0.1,0,1e-05,10,True,8,0,0.68,128.0,True,base
985072276,1232654,425480388,1159404296118,1.0,0.9996324025409158,0.9987502303167034,0.698359090830798,0.8219697978435678,1,0.1,0,1e-05,10,True,8,0,0.7000000000000001,128.0,True,base
853259572,674036,557293092,1159404854736,1.0,0.999519332013983,0.9992106693147039,0.6049115313286878,0.7536010110111191,1,0.1,0,1e-05,10,True,8,0,0.72,128.0,True,base
776916284,331520,633636380,1159405197252,1.0,0.9994538601677402,0.9995734693642183,0.5507885694936379,0.7102259052995138,1,0.1,0,1e-05,10,True,8,0,0.74,128.0,True,base
672061524,264320,738491140,1159405264452,1.0,0.9993635895713245,0.9996068572964153,0.4764526282160848,0.6453199468127595,1,0.1,0,1e-05,10,True,8,0,0.76,128.0,True,base
649899018,199986,760653646,1159405328786,1.0,0.9993445528157581,0.9996923760861507,0.460740697307279,0.630770380159176,1,0.1,0,1e-05,10,True,8,0,0.78,128.0,True,base
621775976,92108,788776688,1159405436664,1.0,0.9993204187910422,0.9998518849859482,0.44080309219847746,0.6118575364986384,1,0.1,0,1e-05,10,True,8,0,0.8,128.0,True,base
589390934,87230,821161730,1159405441542,1.0,0.9992925244807221,0.9998520216602969,0.4178439763664152,0.5893818492681754,1,0.1,0,1e-05,10,True,8,0,0.8200000000000001,128.0,True,base
559368666,21684,851183998,1159405507088,1.0,0.9992667178758008,0.9999612363709885,0.3965599302147006,0.5679033982452043,1,0.1,0,1e-05,10,True,8,0,0.84,128.0,True,base
487526600,18140,923026064,1159405510632,1.0,0.9992048316535569,0.9999627931582238,0.34562807362150355,0.5137002969105794,1,0.1,0,1e-05,10,True,8,0,0.86,128.0,True,base
464556006,18140,945996658,1159405510632,1.0,0.9991850433387951,0.9999609534879282,0.32934325520511015,0.4954928952245102,1,0.1,0,1e-05,10,True,8,0,0.88,128.0,True,base
452094072,18140,958458592,1159405510632,1.0,0.9991743078448617,0.9999598772173842,0.32050846702736085,0.4854271724614836,1,0.1,0,1e-05,10,True,8,0,0.9,128.0,True,base
407554838,18040,1002997826,1159405510732,1.0,0.9991359390328577,0.9999557379772459,0.2889327342406834,0.44832419828575293,1,0.1,0,1e-05,10,True,8,0,0.92,128.0,True,base
384868262,18040,1025684402,1159405510732,1.0,0.9991163953890687,0.999953129015228,0.2728492681078656,0.42871773342141006,1,0.1,0,1e-05,10,True,8,0,0.9400000000000001,128.0,True,base
354007712,0,1056544952,1159405528772,1.0,0.9990898257106389,1.0,0.25097092865438736,0.4012418240995343,1,0.1,0,1e-05,10,True,8,0,0.96,128.0,True,base
293304516,0,1117248148,1159405528772,1.0,0.9990375321587397,1.0,0.20793588462571574,0.3442829826852037,1,0.1,0,1e-05,10,True,8,0,0.98,128.0,True,base
0,0,1410552664,1159405528772,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,10,True,8,0,1.0,128.0,True,base
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.0,128.0,False,large
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.02,128.0,False,large
1273551760,1141793488512,137000904,17612040260,1.0,0.016269237066941195,0.0011141531643646643,0.902874307711775,0.0022255599722715027,1,0.1,0,1e-05,10,True,8,0,0.04,128.0,False,large
