,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,test_set,training_set,seed,threshold,unite_hash
1036,64142,352302120,194882,9980059706,1.0,0.9658850346763668,0.00018203218331952562,0.24762956328371116,0.0003637969399619289,opensecrets_gold,canlobby_gold,5,0.7000000000000001,False
1037,162442,767009438,96582,9565352388,1.0,0.9257588146186551,0.00021174133754746068,0.6271310766569893,0.0004233397408244065,opensecrets_gold,canlobby_gold,5,0.7000000000000001,True
1038,49380,21311630,209644,10311050196,1.0,0.9979171524521777,0.002311688445443357,0.19063870529371796,0.004567985415749115,opensecrets_gold,canlobby_gold,5,0.75,False
1039,140846,48401442,118178,10283960384,1.0,0.9953042291298243,0.0029015113585086883,0.5437565630984001,0.00577222186157618,opensecrets_gold,canlobby_gold,5,0.75,True
1040,38210,251514,220814,10332110312,1.0,0.9999542876868457,0.13188413800720686,0.14751528815862622,0.1392624665602426,opensecrets_gold,canlobby_gold,5,0.8,False
1041,129162,594904,129862,10331766922,1.0,0.9999298565184457,0.1783842909348043,0.498648773858793,0.26276739667782195,opensecrets_gold,canlobby_gold,5,0.8,True
1042,25652,18618,233372,10332343208,1.0,0.9999756121894282,0.5794443189518862,0.09903329421211934,0.1691560004484098,opensecrets_gold,canlobby_gold,5,0.8500000000000001,False
1043,116774,59984,142250,10332301842,1.0,0.9999804276182263,0.6606433655053803,0.45082308975230095,0.5359285147160737,opensecrets_gold,canlobby_gold,5,0.8500000000000001,True
1044,12562,1742,246462,10332360084,1.0,0.9999759786017891,0.8782158836689038,0.04849743653097782,0.09191886670959433,opensecrets_gold,canlobby_gold,5,0.9,False
1045,105014,9760,154010,10332352066,1.0,0.9999841501974787,0.9149633192186384,0.405421891407746,0.5618756654663749,opensecrets_gold,canlobby_gold,5,0.9,True
1046,3232,500,255792,10332361326,1.0,0.9999751958381401,0.8660235798499464,0.012477608252517142,0.02460077029639666,opensecrets_gold,canlobby_gold,5,0.9500000000000001,False
1047,97390,7688,161634,10332354138,1.0,0.9999836128701074,0.9268353032985021,0.37598832540613997,0.5349599837408199,opensecrets_gold,canlobby_gold,5,0.9500000000000001,True
1048,168,20,258856,10332361806,1.0,0.9999749457563809,0.8936170212765957,0.0006485885477793563,0.0012962362853571592,opensecrets_gold,canlobby_gold,5,1.0,False
1049,94234,7094,164790,10332354732,1.0,0.9999833649175272,0.9299897363019106,0.3638041262585706,0.5230108338513453,opensecrets_gold,canlobby_gold,5,1.0,True
1050,259024,10332361826,0,0,1.0,2.5068567187384988e-05,2.5068567187384988e-05,1.0,5.013587754015536e-05,opensecrets_gold,canlobby_gold,6,0.0,False
1051,259024,10332361826,0,0,1.0,2.5068567187384988e-05,2.5068567187384988e-05,1.0,5.013587754015536e-05,opensecrets_gold,canlobby_gold,6,0.0,True
1052,258896,10320777166,128,11584660,1.0,0.0011462296131769898,2.5084303401787688e-05,0.99950583729693,5.016734776843488e-05,opensecrets_gold,canlobby_gold,6,0.05,False
1053,259004,10325450838,20,6910988,1.0,0.0006939180391971897,2.5083408691816697e-05,0.9999227870776454,5.0165558963249355e-05,opensecrets_gold,canlobby_gold,6,0.05,True
1054,257750,10213977770,1274,118384056,1.0,0.011482256798380441,2.523438973923327e-05,0.9950815368460065,5.046749966720624e-05,opensecrets_gold,canlobby_gold,6,0.1,False
1055,258852,10270448874,172,61912952,1.0,0.006017041068530063,2.5202937022998293e-05,0.9993359688677497,5.0404602857856586e-05,opensecrets_gold,canlobby_gold,6,0.1,True
1056,253480,9857160708,5544,475201118,1.0,0.04601490801823044,2.571465448906224e-05,0.9785965779232813,5.1427957601887686e-05,opensecrets_gold,canlobby_gold,6,0.15000000000000002,False
1057,258412,10102504434,612,229857392,1.0,0.022270806926976326,2.5578349599913e-05,0.9976372845759466,5.1155387630572355e-05,opensecrets_gold,canlobby_gold,6,0.15000000000000002,True
