,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
169,1001766,1243476026,169688,368475004,1.0,0.22904446107763754,0.0008049689648459391,0.8551475346022976,0.0016084238853222089,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.05,149.9590301513672
170,927998,37469506,243456,1574481524,1.0,0.9766211416838698,0.024168185515391835,0.7921762186137911,0.04690535444476451,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.1,149.9590301513672
171,909554,949160,261900,1611001870,1.0,0.999249244857714,0.4893458595566612,0.7764316823366517,0.6003323908113346,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.15000000000000002,149.9590301513672
172,902630,128916,268824,1611822114,1.0,0.9997534347181042,0.8750264166600423,0.7705210789326769,0.8194552882433047,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.2,149.9590301513672
173,887032,12846,284422,1611938184,1.0,0.9998157188911887,0.9857247315747246,0.7572060021136127,0.8564846195588154,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.25,149.9590301513672
174,882844,12104,288610,1611938926,1.0,0.9998135826615879,0.9864751918547223,0.7536309577670143,0.8544745891651284,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.30000000000000004,149.9590301513672
175,862070,9944,309384,1611941086,1.0,0.9998020435502156,0.9885965133587304,0.735897440275077,0.8437323217197432,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.35000000000000003,149.9590301513672
176,832912,9944,338542,1611941086,1.0,0.9997839680474009,0.9882020179010412,0.7110070049698921,0.8269948518351197,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.4,149.9590301513672
177,805698,3228,365756,1611947802,1.0,0.999771261014796,0.9960095237388834,0.6877760458370538,0.8136802027893636,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.45,149.9590301513672
178,726282,3132,445172,1611947898,1.0,0.9997220892992029,0.9957061421908546,0.6199833710926763,0.7641582687488032,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.5,149.9590301513672
179,701826,3132,469628,1611947898,1.0,0.9997069286401441,0.9955571821299992,0.5991067510973542,0.7480510676759689,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.55,149.9590301513672
180,669644,204,501810,1611950826,1.0,0.9996887936254194,0.9996954532968674,0.5716349084129637,0.7273592273293572,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.6000000000000001,149.9590301513672
181,662148,12,509306,1611951018,1.0,0.9996842657609377,0.9999818774918449,0.565236022925356,0.7222327054658179,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.65,149.9590301513672
182,625600,12,545854,1611951018,1.0,0.9996616090808886,0.9999808187822484,0.5340371879732366,0.6962459920781985,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.7000000000000001,149.9590301513672
