,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,fold,threshold,alpha
531,836162,3870,220274,1519654124,1.0,0.9998526061201379,0.9953930326463754,0.7914932849694634,0.881809764256502,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.42,88.544677734375
532,836162,3870,220274,1519654124,1.0,0.9998526061201379,0.9953930326463754,0.7914932849694634,0.881809764256502,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.44,88.544677734375
533,833802,0,222634,1519657994,1.0,0.9998535990744823,1.0,0.7892593588253335,0.8822190644775949,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.46,88.544677734375
534,821778,0,234658,1519657994,1.0,0.9998456922645234,1.0,0.7778776944367667,0.8750632249573265,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.48,88.544677734375
535,821674,0,234762,1519657994,1.0,0.9998456238756148,1.0,0.777779250233805,0.875000931787808,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.5,88.544677734375
536,595732,0,460704,1519657994,1.0,0.9996970476567385,1.0,0.5639073261418581,0.7211518441223895,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.52,88.544677734375
537,588266,0,468170,1519657994,1.0,0.9996921381222114,1.0,0.5568401682638607,0.7153466099025841,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.54,88.544677734375
538,587630,0,468806,1519657994,1.0,0.9996917198977325,1.0,0.5562381440995953,0.7148496471552845,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.56,88.544677734375
539,585782,0,470654,1519657994,1.0,0.9996905046794354,1.0,0.5544888663392766,0.7134034580061843,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.58,88.544677734375
540,584526,0,471910,1519657994,1.0,0.9996896787518482,1.0,0.5532999632727397,0.7124186909873598,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.6,88.544677734375
541,565320,0,491116,1519657994,1.0,0.9996770491616891,1.0,0.5351199694065708,0.6971702278271207,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.62,88.544677734375
542,562052,0,494384,1519657994,1.0,0.9996749001717568,1.0,0.5320265496442756,0.6945395949800061,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.64,88.544677734375
543,538346,0,518090,1519657994,1.0,0.999659311446134,1.0,0.5095869508422659,0.6751342816761162,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.66,88.544677734375
544,436224,0,620212,1519657994,1.0,0.9995921574835059,1.0,0.41292042300716747,0.5844921147481676,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.68,88.544677734375
545,415408,0,641028,1519657994,1.0,0.9995784691804365,1.0,0.3932164371528422,0.5644728653308367,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.7000000000000001,88.544677734375
546,410776,0,645660,1519657994,1.0,0.9995754232436658,1.0,0.38883188380555,0.5599408947036966,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.72,88.544677734375
547,408120,0,648316,1519657994,1.0,0.9995736766961566,1.0,0.38631777031452924,0.5573293202854653,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.74,88.544677734375
548,407896,0,648540,1519657994,1.0,0.999573529396969,1.0,0.3861057366466118,0.5571086338344037,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.76,88.544677734375
549,406820,0,649616,1519657994,1.0,0.9995728218348003,1.0,0.38508721777750854,0.5560476088941375,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.78,88.544677734375
550,406820,0,649616,1519657994,1.0,0.9995728218348003,1.0,0.38508721777750854,0.5560476088941375,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.8,88.544677734375
