,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,seed,threshold,train_counts,test_counts
3272,2260774,789714184,1062940,10134018126,1.0,0.927631273943947,0.002854602885057383,0.6801951070398957,0.005685345844510602,13,0.08,False,True
3273,1310,193430,282,7189784,1.0,0.9737688437583871,0.006726917941871213,0.8228643216080402,0.013344742578896972,13,0.08,False,False
3274,2027618,228252642,1296096,10695479668,1.0,0.9789926273375168,0.008805001349225504,0.6100458703727216,0.017359447831996215,13,0.1,False,True
3275,1268,52856,324,7330358,1.0,0.9927987275495118,0.02342768457615845,0.7964824120603015,0.045516548208773065,13,0.1,False,False
3276,1799184,116876912,1524530,10806855398,1.0,0.9891643786084793,0.015160458261114352,0.5413173335611909,0.029494865606757913,13,0.12,False,True
3277,1244,17608,348,7365606,1.0,0.9975685210958826,0.06598769361340971,0.7814070351758794,0.12169829778908235,13,0.12,False,False
3278,1781756,69665842,1541958,10854066468,1.0,0.9934833499669444,0.02493794123071849,0.5360738017771686,0.04765881331599478,13,0.14,False,True
3279,1234,9172,358,7374042,1.0,0.9987095124773758,0.11858543148183741,0.7751256281407035,0.2057009501583597,13,0.14,False,False
3280,1754364,40311856,1569350,10883420454,1.0,0.9961672013113126,0.041704816834029775,0.5278324187941562,0.07730189693600346,13,0.16,False,True
3281,1200,3892,392,7379322,1.0,0.99941988997409,0.2356637863315004,0.7537688442211056,0.3590664272890485,13,0.16,False,False
3282,1754364,36287660,1569350,10887444650,1.0,0.996535479463375,0.04611647371864336,0.5278324187941562,0.0848220815013623,13,0.18,False,True
3283,1200,2712,392,7380502,1.0,0.9995796775162408,0.3067484662576687,0.7537688442211056,0.43604651162790703,13,0.18,False,False
3284,1754054,28252764,1569660,10895479546,1.0,0.9972707722981836,0.05845518175236041,0.5277391496380254,0.10525208538525577,13,0.2,False,True
3285,1192,2154,400,7381060,1.0,0.9996541547604636,0.356246264196055,0.7487437185929648,0.48278655326042935,13,0.2,False,False
3286,1676280,27872270,1647434,10895860040,1.0,0.9972984760089851,0.056729687243536484,0.5043394227060451,0.10198749924860667,13,0.22,False,True
3287,1168,1926,424,7381288,1.0,0.9996817790474116,0.3775048480930834,0.7336683417085427,0.4985061886470338,13,0.22,False,False
3288,1676280,19949542,1647434,10903782768,1.0,0.9980235320517654,0.07751289176429918,0.5043394227060451,0.1343736412572963,13,0.24,False,True
3289,1168,1616,424,7381598,1.0,0.9997237571305191,0.41954022988505746,0.7336683417085427,0.5338208409506399,13,0.24,False,False
3290,1668234,19436030,1655480,10904296280,1.0,0.9980697902569846,0.07904724846125882,0.5019186368020835,0.13658387935342006,13,0.26,False,True
3291,1150,1322,442,7381892,1.0,0.9997611311658018,0.465210355987055,0.7223618090452262,0.5659448818897638,13,0.26,False,False
3292,1656848,18830686,1666866,10904901624,1.0,0.9981241468923578,0.08087103113532355,0.4984929509578742,0.1391651542161923,13,0.28,False,True
3293,1120,1176,472,7382038,1.0,0.9997768390936742,0.4878048780487805,0.7035175879396985,0.5761316872427984,13,0.28,False,False
3294,1651050,18725342,1672664,10905006968,1.0,0.9981332569399115,0.08102759310873092,0.4967485168699834,0.1393284907670877,13,0.3,False,True
