name,ult_org,score
Appalachian Power,Appalachia Investments,0.9510897471125276
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502453122560591
McGraw-Hill Ryerson Ltd,McGraw-Hill Companies,0.9493023885554377
Community West Bancshares,Community Service,0.948783362908057
American Seafoods Corp,American Seafoods Holdings,0.948477265162856
Rio Tinto Ltd,Rio Tinto Group,0.9474456620575914
Northwest Bancshares Inc,Northwest Alaska Native Assn,0.9467728805156785
First American Scientific Corp,First American Corp,0.9451684201620243
CNH Global NV,CNH Global,0.9451306068484461
Federal Home Loan Mortgage Corp,Federal Home Loan Bank,0.9447137537717967
Jefferson-Pilot Corp,"Jefferson County, AL",0.9443658652493171
Pacific Rim Mining Corp,Pacific Rim Environmental Resources,0.9428618204925683
Alexander's Inc.,Alexander & Baldwin,0.9423143178864977
AmSouth Bancorporation,AmSouth Bancorp,0.9414105992647098
World Health Alternatives,World Health Organization,0.9400292871107275
Pennsylvania Power Co,Pennsylvania REIT,0.9386130408192895
Advanced Medical Optics Inc.,Advanced Television Systems Committee,0.9381672312927268
Allegheny Energy Supply Co LLC,Allegheny General Hospital,0.9375358022945864
Mobile Climate Control Industries Inc,"Mobile County, AL",0.9364348556044427
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345469131111074
Northeast Indiana Bancorp Inc,Northeast Ohio University,0.9345299483422713
General Motors Co,General Atomics,0.9326482613852562
California Pizza Kitchen Inc,California Science Center,0.9323090482248886
Mitsubishi Electric Corp,Mitsubishi Gas Chemical,0.9315675668736506
First Community Bancshares Inc,First Command Financial Services,0.9295414005332622
Global Crossing Ltd,Global Crossing Development Corp,0.9285518840453153
Coast Dental Services Inc,Coast Development Group,0.9278197179202309
Triant Holdings Inc,Tanana Chiefs Conference,0.9270935486172953
Universal Logistics Holdings Inc,University of Kentucky,0.92663503485517
Spectrum Group International Inc,Spectrum Group,0.9266185412205258
Argan Inc,Arxan Inc,0.9252747118590887
Rockwood Specialties Group Inc.,Rockwood Holdings,0.9247541828220933
Edison Mission Energy,Edison Electric Institute,0.9240272895809009
Independent Bank Corp.,Independent Community Bankers of America,0.9237262216963674
Spectrum Control Inc,Spectrum Consulting,0.9230724326260753
European American Resources,European Aeronautic Defence & Space,0.9228767787251904
Florida Banks Inc,Florida State College/Jacksonville,0.9207222917520637
Montana Mills Bread Co Inc.,Montana State University,0.9203386984228994
Communications Systems Inc.,Communications Workers of America,0.9187780378554474
Minnesota Municipal Term Trust Inc. II,Minnesota State University,0.9182708007299624
Manitowoc Company Inc.,Manitowoc Co,0.9180982312100594
Childrens Place Inc,Children's Museum of Philadelphia,0.9174454067730962
Citizens Republic Bancorp Inc,Citizens Commission On Holocaust Assets,0.9173690413392186
Educational Development Corp,Education Investment Co,0.9173501735610743
Universal American Corp,Universal Bearing,0.9172859815045802
Cleveland-Cliffs Inc,Cleveland Clinic,0.9171238315162896
Advanced Analogic Technologies Inc,Advanced Concepts & Technologies Intl,0.9166569048177181
Center Trust Inc.,Center for American Progress,0.914864983781723
Zilog Inc,Wilkes Corp,0.9140118517875696
Allied Domecq PLC (New),Allied Domecq,0.9126729193752708
Geneva Financial Corp,"Genesee County, MI",0.9106114771628236
Park City Group Inc,"Park City, UT",0.9103082184357435
Hillsborough Resources Ltd,"Hillsborough County, FL",0.9098531604311842
Pacific Rim Mining Corp,Pacific Mutual Holding,0.9089468119246921
Royal Group Technologies Ltd,Royal Ahold,0.9087311224510392
Cherokee International Corp,Cherokee Nation of Oklahoma,0.9075664554267793
Jefferson Bancshares Inc,"Jefferson Parish, LA",0.9073673703008301
Susquehanna Media Co,Susquehanna Pfaltzgraff,0.9067881803333844
Alcatel ADS Optronics,Alcatel SA,0.9066945732537282
Dominion Resources Black Warrior Trust,Dominion Resources,0.9063065579511351
Southeastern Bank Financial Corp,Southeastern Colorado Water Conservancy,0.9053633587247994
Florida Gaming Corp,Florida Sugar Cane League,0.9048893364616669
United Defense Industries Inc.,United Defense,0.9047434502129162
National Rural Utilities Cooperative Finance Corp,National Auto Dealers Assn,0.9041084655894559
Essex Corp,"Essex County, MA",0.9038429827004791
Allegheny Technologies Inc,"Allegheny County, PA",0.9029717991600837
New York Film Works Inc,New York University,0.9026799050191577
Express Scripts Holding Co,Express Trak,0.9022928305688446
Zions Bancorporation,Zions Bancorp,0.9011209843368748
American Physicians Capital Inc,American Physical Therapy Assn,0.9001897179049838
Pioneer Natural Resources Co,Pioneer Natural Resources USA,0.989497682931523
American Financial Group Inc,American Financial Services Assn,0.9683075033076299
Technology Spectrum Inc,Technology Systems Inc,0.9650245431404476
E*TRADE Financial Corporation,E*TRADE Financial,0.9649588277835299
Electronic Game Card Inc,Electronic Warfare Assoc,0.9597400631720584
Williams Cos Inc.,Williams Companies,0.9586704537393969
PNC Financial Services Group Inc.,PNC Financial Services,0.9564887390424059
Valley Bancorp,Valley Health System,0.9530033753424727
First State Bancorporation Inc,First State Bancshares of Blakely,0.9518518342914771
ICTS International NV,ICTS International,0.951178332567887
North American Technologies Group Inc,North America's Supercorridor Coalition,0.950245096151138
McGraw-Hill Ryerson Ltd,McGraw-Hill Companies,0.9493022149341098
Community West Bancshares,Community Service,0.9487833412842034
American Seafoods Corp,American Seafoods Holdings,0.948477236472629
Republic Property Trust,Republic of Lativa,0.9477474163175796
Northwest Bancshares Inc,Northwest Alaska Native Assn,0.9467731085588876
First American Scientific Corp,First American Corp,0.9451685325036767
CNH Global NV,CNH Global,0.9451306100596725
Jefferson-Pilot Corp,"Jefferson County, AL",0.9443658495507925
Alexander's Inc.,Alexander & Baldwin,0.9423143357661206
AmSouth Bancorporation,AmSouth Bancorp,0.9414106119408646
World Health Alternatives,World Health Organization,0.9400292365242235
Citizens Inc.,Citizens Communications,0.9394808407905317
Pennsylvania Power Co,Pennsylvania REIT,0.9386131450027815
Advanced Medical Optics Inc.,Advanced Television Systems Committee,0.9381672382616794
Allegheny Energy Supply Co LLC,Allegheny General Hospital,0.93753604695015
Mobile Climate Control Industries Inc,"Mobile County, AL",0.9364347074750545
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345470135272327
Contrans Group Inc,Contran Corp,0.9341967647324821
